deal_id,account,pipeline,stage,deal_value,sales_rep,deal_created,deal_closed,deal_activities_done,account_tier,account_province,account_store_type,account_tax_status,account_discount_pct,account_payment_terms,account_activities_done,account_deals_won
1,Account 0001,Orders,Shipped on credit,928254.0,Rep A,2023-02-07,2023-04-12,1,Strategic,,,Exempt,0.0,,1.0,1.0
2,Account 0002,Orders,Shipped on credit,715395.0,Rep A,2022-05-12,2022-07-07,1,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
3,Account 0003,Orders,Shipped on credit,631053.0,Rep A,2023-02-14,2023-03-09,1,,Cordoba,Distributor,VAT registered,28.0,60 days,2.0,2.0
4,Account 0003,Orders,Shipped on credit,514906.0,Rep A,2023-02-14,2023-03-09,1,,Cordoba,Distributor,VAT registered,28.0,60 days,2.0,2.0
5,Account 0004,Orders,Shipped on credit,380421.0,Rep A,2022-11-25,2023-01-20,2,Key,Salta,Art supply store,Simplified regime,22.0,Open account,13.0,6.0
6,Account 0005,Orders,Shipped,379347.0,Rep B,2023-03-31,2023-04-13,1,Potential,Rio Negro,Paint store,VAT registered,22.0,Upfront,8.0,5.0
7,Account 0006,Orders,Shipped on credit,359204.0,Rep B,2022-11-14,2022-12-22,5,Strategic,AMBA Sur,Art supply store,VAT registered,22.0,,9.0,5.0
8,Account 0002,Orders,Shipped on credit,329743.0,Rep A,2021-10-22,2022-01-21,0,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
9,Account 0007,Orders,Shipped,306070.0,Rep A,2022-06-01,2022-07-04,1,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
10,Account 0008,Orders,Shipped,309150.0,Rep A,2021-11-01,2022-02-22,0,Standard,Jujuy,Workshop,Exempt,22.0,,7.0,2.0
11,Account 0009,Orders,Shipped on credit,281321.0,Rep B,2022-09-19,2022-11-25,3,Strategic,BA Atlantico,Paint store,VAT registered,22.0,,10.0,3.0
12,,Active customers,Won customer,286215.0,Rep C,2021-10-15,2022-10-31,4,,,,,,,,
13,Account 0010,Orders,Shipped on credit,253304.0,Rep A,2022-11-15,2023-01-06,4,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
14,Account 0005,Orders,Shipped,252685.0,Rep B,2023-01-04,2023-01-09,3,Potential,Rio Negro,Paint store,VAT registered,22.0,Upfront,8.0,5.0
15,Account 0011,Orders,Shipped,242342.0,Rep B,2023-02-24,2023-03-07,2,Strategic,Rio Negro,Paint store,VAT registered,22.0,,14.0,4.0
16,Account 0011,Orders,Shipped,236464.0,Rep C,2022-08-18,2022-09-19,2,Strategic,Rio Negro,Paint store,VAT registered,22.0,,14.0,4.0
17,Account 0002,Orders,Shipped on credit,224999.0,Rep A,2022-08-25,2022-10-12,1,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
18,Account 0012,Orders,Shipped,210162.0,Rep A,2022-02-09,2022-03-17,0,Strategic,AMBA Norte,Paint store,VAT registered,22.0,Upfront,7.0,2.0
19,Account 0002,Orders,Shipped on credit,220832.0,Rep A,2022-02-15,2022-04-19,0,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
20,Account 0013,Orders,Shipped on credit,215995.0,Rep A,2022-05-23,2022-07-21,1,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
21,Account 0007,Orders,Shipped,210850.0,Rep A,2022-10-12,2022-11-02,6,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
22,Account 0012,Orders,Shipped,201973.0,Rep A,2022-10-25,2022-11-07,2,Strategic,AMBA Norte,Paint store,VAT registered,22.0,Upfront,7.0,2.0
23,Account 0014,Orders,Shipped on credit,210518.0,Rep A,2023-01-26,2023-02-24,1,Strategic,CABA,Other,VAT registered,,30 days,1.0,1.0
24,Account 0015,Orders,Shipped on credit,206664.0,Rep A,2023-02-22,2023-04-12,1,,Santa Fe,Distributor,,28.0,,2.0,2.0
25,Account 0016,Orders,Shipped on credit,194648.0,Rep B,2023-03-23,2023-04-03,4,Potential,AMBA Sur,Paint store,VAT registered,15.0,Upfront,11.0,5.0
26,Account 0010,Orders,Shipped on credit,183123.0,Rep A,2022-07-25,2022-09-23,1,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
27,Account 0002,Orders,Shipped on credit,185999.0,Rep A,2022-10-18,2022-12-15,1,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
28,Account 0013,Orders,Shipped on credit,169905.0,Rep A,2023-01-31,2023-04-12,2,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
29,Account 0017,Orders,Shipped,166095.0,Rep A,2021-12-23,2022-02-10,0,Churned,Mendoza,Distributor,VAT registered,22.0,Upfront,5.0,6.0
30,Account 0007,Orders,Shipped,173391.0,Rep A,2022-06-01,2022-07-04,1,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
31,Account 0018,Orders,Shipped on credit,172161.0,Rep A,2022-10-19,2022-11-07,2,Standard,Mendoza,Paint store,VAT registered,15.0,Upfront,6.0,3.0
32,Account 0019,Orders,Shipped on credit,173108.0,Rep B,2023-01-03,2023-02-10,1,Potential,BA Norte,Art supply store,VAT registered,28.0,,9.0,3.0
33,Account 0020,Orders,Shipped on credit,158709.0,Rep A,2022-09-27,2023-01-12,3,Key,Santa Fe,Other,VAT registered,22.0,30 days,11.0,2.0
34,Account 0021,Orders,Shipped,158263.0,Rep A,2022-02-11,2022-03-07,0,Strategic,AMBA Norte,Paint store,VAT registered,22.0,,16.0,6.0
35,Account 0013,Orders,Shipped on credit,159728.0,Rep A,2022-10-31,2022-12-29,3,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
36,Account 0021,Orders,Shipped,154509.0,Rep A,2022-05-24,2022-07-04,0,Strategic,AMBA Norte,Paint store,VAT registered,22.0,,16.0,6.0
37,Account 0022,Orders,Shipped on credit,152393.0,Rep A,2022-09-14,2022-11-24,2,Potential,Cordoba,Other,VAT registered,28.0,30 days,2.0,1.0
38,Account 0021,Orders,Shipped,157746.0,Rep A,2022-12-23,2023-01-02,0,Strategic,AMBA Norte,Paint store,VAT registered,22.0,,16.0,6.0
39,Account 0013,Orders,Shipped on credit,151916.0,Rep A,2022-02-07,2022-05-23,1,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
40,Account 0023,Orders,Shipped,151433.0,Rep A,2022-07-25,2022-08-17,7,Key,Santa Fe,Art supply store,VAT registered,22.0,Upfront,16.0,4.0
41,Account 0024,Orders,Shipped,146043.0,Rep A,2022-12-02,2022-12-13,3,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
42,Account 0013,Orders,Shipped on credit,151756.0,Rep A,2022-09-14,2022-10-31,1,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
43,Account 0007,Orders,Shipped,149213.0,Rep A,2021-11-19,2022-01-12,0,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
44,Account 0021,Orders,Shipped,143366.0,Rep A,2022-08-26,2022-09-06,1,Strategic,AMBA Norte,Paint store,VAT registered,22.0,,16.0,6.0
45,Account 0025,Orders,Shipped on credit,146472.0,Rep A,2022-11-01,2022-12-15,1,Standard,Cordoba,Other,VAT registered,28.0,30 days,2.0,1.0
46,Account 0013,Orders,Shipped on credit,144855.0,Rep A,2021-11-17,2022-05-11,0,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
47,Account 0026,Orders,Shipped,138552.0,Rep A,2022-03-11,2022-04-22,0,Churned,Corrientes,Paint store,VAT registered,7.0,Upfront,6.0,1.0
48,Account 0018,Orders,Shipped,135956.0,Rep A,2022-10-04,2022-10-28,0,Standard,Mendoza,Paint store,VAT registered,15.0,Upfront,6.0,3.0
49,Account 0009,Orders,Shipped,139783.0,Rep A,2021-12-17,2022-01-10,0,Strategic,BA Atlantico,Paint store,VAT registered,22.0,,10.0,3.0
50,Account 0013,Orders,Shipped on credit,131198.0,Rep A,2022-07-18,2022-09-27,2,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
51,Account 0007,Orders,Shipped,126522.0,Rep C,2022-03-28,2022-05-09,2,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
52,Account 0027,Orders,Shipped,123481.0,Rep B,2023-03-22,2023-03-29,1,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
53,Account 0028,Orders,Shipped on credit,133605.0,Rep A,2022-06-21,2022-07-11,0,Strategic,Cordoba,Art supply store,VAT registered,22.0,Open account,6.0,6.0
54,Account 0009,Orders,Shipped on credit,130476.0,Rep A,2022-05-13,2022-06-06,0,Strategic,BA Atlantico,Paint store,VAT registered,22.0,,10.0,3.0
55,Account 0029,Orders,Shipped on credit,129735.0,Rep A,2021-11-17,2022-01-21,0,Strategic,CABA,Art supply store,VAT registered,28.0,Open account,16.0,18.0
56,Account 0002,Orders,Shipped on credit,129536.0,Rep A,2022-06-23,2022-08-09,1,Strategic,CABA,Paint store,VAT registered,30.0,Open account,5.0,7.0
